ETF_ID,ETF_NAME,N_QUARTERS_AVAILABLE,MEAN_FINANCIAL_MATCH_WEIGHT,PERSISTENT_INTERNAL_FINANCIAL_CAPACITY,SD_INTERNAL_FINANCIAL_CAPACITY,N_INTERNAL_FINANCIAL_CAPACITY,MIN_INTERNAL_FINANCIAL_CAPACITY,MAX_INTERNAL_FINANCIAL_CAPACITY,RANGE_INTERNAL_FINANCIAL_CAPACITY,PERSISTENT_EXTERNAL_FINANCING_DEPENDENCE,SD_EXTERNAL_FINANCING_DEPENDENCE,N_EXTERNAL_FINANCING_DEPENDENCE,MIN_EXTERNAL_FINANCING_DEPENDENCE,MAX_EXTERNAL_FINANCING_DEPENDENCE,RANGE_EXTERNAL_FINANCING_DEPENDENCE,PERSISTENT_GROWTH_DURATION_EXPOSURE_FINAL,SD_GROWTH_DURATION_EXPOSURE_FINAL,N_GROWTH_DURATION_EXPOSURE_FINAL,MIN_GROWTH_DURATION_EXPOSURE_FINAL,MAX_GROWTH_DURATION_EXPOSURE_FINAL,RANGE_GROWTH_DURATION_EXPOSURE_FINAL,PERSISTENT_PORTFOLIO_CONCENTRATION_FINAL,SD_PORTFOLIO_CONCENTRATION_FINAL,N_PORTFOLIO_CONCENTRATION_FINAL,MIN_PORTFOLIO_CONCENTRATION_FINAL,MAX_PORTFOLIO_CONCENTRATION_FINAL,RANGE_PORTFOLIO_CONCENTRATION_FINAL,PERSISTENT_FINANCIAL_ARCHITECTURE_RISK_FINAL,SD_FINANCIAL_ARCHITECTURE_RISK_FINAL,N_FINANCIAL_ARCHITECTURE_RISK_FINAL,MIN_FINANCIAL_ARCHITECTURE_RISK_FINAL,MAX_FINANCIAL_ARCHITECTURE_RISK_FINAL,RANGE_FINANCIAL_ARCHITECTURE_RISK_FINAL,PERSISTENT_EXTENDED_ARCHITECTURE_RISK_FINAL,SD_EXTENDED_ARCHITECTURE_RISK_FINAL,N_EXTENDED_ARCHITECTURE_RISK_FINAL,MIN_EXTENDED_ARCHITECTURE_RISK_FINAL,MAX_EXTENDED_ARCHITECTURE_RISK_FINAL,RANGE_EXTENDED_ARCHITECTURE_RISK_FINAL,AVAILABLE_ALL_THREE_QUARTERS
S000065418,iShares ESG MSCI USA Leaders ETF,3,0.924356936919236,-0.08534227580388754,0.10343588739798242,3,-0.18727784224557212,0.019531332913535204,0.20680917515910732,-0.28477298022220315,0.020194488546620485,3,-0.30368537533283957,-0.2635033009174612,0.040182074415378355,0.24956763958130582,0.13897309668254534,3,0.10882305790836745,0.38669877738818254,0.2778757194798151,0.45778650068272003,0.35917722457580936,3,0.11852731598543943,0.8340212305591667,0.7154939145737272,0.01671231172099674,0.01618060965303477,3,0.002990211912543649,0.03455471451906204,0.031564502606518385,0.12698085896142758,0.10183518520506285,3,0.031874487930767595,0.2344213435290882,0.20254685559832059,1
S000066985,PIMCO RAFI ESG U.S. ETF,3,0.9564822577240667,-0.7120259060898327,0.032996635315764744,3,-0.7468029837078762,-0.6811579720264604,0.06564501168141579,0.0223640992793999,0.025226558612836913,3,-0.006751766174557263,0.03768298114869626,0.044434747323253525,-0.6488857953664108,0.35393879743498885,3,-0.9680279871248011,-0.2682177334079313,0.6998102537168698,-0.4168100202077485,0.13653254016782893,3,-0.5167585686944693,-0.261247629842222,0.25551093885224735,0.02850140333427399,0.11960615413926028,3,-0.0888876635880655,0.15020773992240846,0.23909540351047398,-0.08282645255123162,0.1186039878522507,3,-0.18477171321268765,0.047343897481250855,0.2321156106939385,1
S000067838,iShares ESG MSCI EM Leaders ETF,3,0.0051610426413928245,-0.9096553895941154,0.0,3,-0.9096553895941153,-0.9096553895941153,0.0,0.9284594534001828,0.0,3,0.9284594534001828,0.9284594534001828,0.0,-0.6298678650220123,0.0,3,-0.6298678650220123,-0.6298678650220123,0.0,-0.5961081742343364,0.04179753591977687,3,-0.6412364993306843,-0.5587247770748949,0.0825117222557894,0.4027489926574286,0.0,3,0.4027489926574286,0.4027489926574286,0.0,0.15303470093448734,0.010449383979944217,3,0.14175261966040037,0.16238055022434772,0.02062793056394735,1
S000068773,iShares ESG Advanced MSCI EM ETF,3,0.005067546597177546,-0.9096553895941154,0.0,3,-0.9096553895941153,-0.9096553895941153,0.0,0.9284594534001828,0.0,3,0.9284594534001828,0.9284594534001828,0.0,-0.6298678650220123,0.0,3,-0.6298678650220123,-0.6298678650220123,0.0,-1.013642869725369,0.12301898662265168,3,-1.1228584243990545,-0.880373519605791,0.24248490479326346,0.4027489926574286,0.0,3,0.4027489926574286,0.4027489926574286,0.0,0.048651027061729184,0.03075474665566291,3,0.02134713839330782,0.08196836459162368,0.060621226198315864,1
S000068775,iShares ESG Advanced MSCI USA ETF,3,0.9459347363606385,0.054393947514647774,0.22114565840054679,3,-0.1927226833030484,0.23367865083258393,0.4264013341356323,-0.20886412568502263,0.11265195638860943,3,-0.3093706439732068,-0.08709658045506281,0.222274063518144,-0.11338537947987004,0.1104697434612203,3,-0.23516031461325368,-0.01960850479883547,0.2155518098144182,0.2562187713362675,0.3933362103513168,3,0.019844648071589716,0.7102760903027093,0.6904314422311196,-0.1255478175598468,0.06509311619742768,3,-0.19583711408481994,-0.06734509323255981,0.12849202085226014,-0.03010617033581824,0.11563437268309575,3,-0.13724394165498907,0.09247308855405678,0.22971703020904585,1
S000069051,SPDR S&P 500 ESG ETF,3,0.9109408907505098,-0.11988440156451811,0.23971403533033483,3,-0.30149117486172855,0.15182518634259767,0.4533163612043262,-0.7475054107358158,0.17540967400015384,3,-0.9398363651582724,-0.5963385088971251,0.34349785626114726,0.1346108732466974,0.40631302960567744,3,-0.1947417488243863,0.5886579080580223,0.7833996568824086,0.48891024617413,0.3101555507871759,3,0.19474682732012547,0.8129026051963136,0.6181557778761881,-0.1643367119748667,0.002932300520183042,3,-0.1676678811476159,-0.16214589382372327,0.005521987323892641,-0.0010249724376175477,0.0757601614756819,3,-0.07371056388491434,0.07747474043836647,0.1511853043232808,1
S000069532,iShares ESG Select Screened S&P 500 ETF,3,0.9318268252688462,-0.05314171336715456,0.1727086938372055,3,-0.21372287831467982,0.12956254019121155,0.34328541850589134,-0.5365199164755731,0.06444703846275732,3,-0.5797533520604335,-0.4624477575710198,0.11730559448941374,0.19138162889264476,0.24665741790063705,3,-0.05854638634092716,0.4346328809885591,0.4931792673294863,0.020369834609363608,0.24268115201299076,3,-0.2184911745270395,0.2666987445186359,0.48518991904567543,-0.09733219140525794,0.005463172949651013,3,-0.10242375519908904,-0.091561003754362,0.010862751444727037,-0.06790668490160255,0.0647549917223793,3,-0.13144061003107665,-0.0019960666861125326,0.12944454334496414,1
S000069963,SmartETFs Sustainable Energy II ETF,3,0.49490596074734766,-0.3991644729968331,0.11400257471851596,3,-0.5079528484712758,-0.2805799116536373,0.22737293681763843,0.9315089323193891,0.17637177730570658,3,0.7604758517130997,1.1127739338828362,0.35229808216973646,-0.8360106195168177,0.32254176651556654,3,-1.1669593087932701,-0.5225906262550825,0.6443686825381877,0.6246729930836871,0.06397837172051614,3,0.5595909829380287,0.687487435598585,0.12789645266055638,0.1648875952664682,0.04321189861488456,3,0.11825842798505078,0.20358264544380236,0.08532421745875159,0.27983394472077294,0.01697536586254329,3,0.2605656798884344,0.29258472981735895,0.03201904992892457,1
S000071281,BlackRock U.S. Carbon Transition Readiness ETF,3,0.9089169211471558,0.057785558308359214,0.1672994358980782,3,-0.12246882270587783,0.20808225808467376,0.3305510807905516,-0.4140136516114781,0.010519247769677742,3,-0.4240348937194543,-0.4030586547618439,0.020976238957610416,-0.07416518328711381,0.19253422189875805,3,-0.2370275530104625,0.1383244351003419,0.3753519881108044,-0.2510960002094435,0.17598016820340998,3,-0.4237466772172298,-0.07196534182858831,0.3517813353886415,-0.1819881310689837,0.027538617135441503,3,-0.211856855072319,-0.15760549258205858,0.05425136249026041,-0.19926509835409867,0.05513423956020466,3,-0.23831320346873763,-0.136195454893691,0.10211774857504663,1
S000071282,BlackRock World ex U.S. Carbon Transition Readiness ETF,3,0.005113511457761485,0.6002298003437698,0.0,3,0.6002298003437698,0.6002298003437698,0.0,-0.2417001863477395,0.0,3,-0.2417001863477395,-0.2417001863477395,0.0,-0.26094244451544135,0.0,3,-0.26094244451544135,-0.26094244451544135,0.0,-1.4438046687150978,0.08687695590610965,3,-1.5436980910444322,-1.3858840250819402,0.15781406596249203,-0.3676241437356502,0.0,3,-0.3676241437356502,-0.3676241437356502,0.0,-0.6366692749805122,0.02171923897652743,3,-0.6616426305628458,-0.6221891140722227,0.03945351649062312,1
S000071711,Putnam Sustainable Future ETF,3,0.8785015571656288,0.2618172316574993,0.1620739902122977,3,0.1126578239613365,0.43428248921568335,0.32162466525434685,-0.16839692921635618,0.25660902909898214,3,-0.4482422441551272,0.05586518281160077,0.504107426966728,0.20620160789380193,0.45923718221782694,3,-0.23775678290955884,0.6793271748755578,0.9170839577851166,-0.6041144755347703,0.1632216152106612,3,-0.7324582267708442,-0.4204134954652788,0.31204473130556537,-0.0746708509933512,0.2119282077761819,3,-0.2351634338851346,0.16556032529722686,0.40072375918236147,-0.20703175712870595,0.14431339651268432,3,-0.2989216399868204,-0.040697682119126805,0.2582239578676936,1
S000071712,Putnam Sustainable Leaders ETF,3,0.8767516062793895,-0.362070521729384,0.12178583850510974,3,-0.45049016806478825,-0.22315977424288658,0.22733039382190168,-0.6291369930582625,0.09477512232787814,3,-0.6865649954378119,-0.5197455959060182,0.1668193995317937,-0.10558637649191309,0.31455932771526524,3,-0.2887809225501752,0.25763083206029425,0.5464117546104694,0.4700685627276338,0.12134424078944397,3,0.36265584766034387,0.6016935076084031,0.23903765994805926,-0.12421761594026388,0.1276950601024736,3,-0.2478498841913098,0.0071853348957568635,0.25503521908706667,0.02435392872671054,0.12593894058550822,3,-0.09522345122839637,0.15581237807391843,0.25103582930231483,1
S000071943,Nuveen Winslow Large-Cap Growth ESG ETF,3,0.9093082702858291,0.5107175347123195,0.0889982778481118,3,0.4082044168146862,0.5682182072178524,0.1600137904031662,-1.1866242828843865,0.09671735996336224,3,-1.243161676428056,-1.0749476124724449,0.16821406395561112,0.9219071142705766,0.1487984673444301,3,0.7539612006903204,1.0372904430391017,0.2833292423487813,1.2827012870838084,0.29189380293554257,3,1.0961757170291186,1.6190857514797423,0.5229100344506237,-0.25847823444204315,0.07865734941169701,3,-0.3483101519473852,-0.20195845888373185,0.14635169306365334,0.1268166459394197,0.11717176487154331,3,0.021977984225102054,0.2533025937071367,0.23132460948203465,1
