MODEL,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,R_SQUARED,ADJ_R_SQUARED
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079196],0.007278505471120829,0.003452594063033184,2.1081266254413045,0.03632422047040197,**,0.0004683949156919359,0.014088616026549722,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079198],-0.00800980043965626,0.003972795323532394,-2.0161623711675083,0.045183896979218326,**,-0.015845988208448836,-0.00017361267086368412,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000079909],0.0011283181783798384,0.0014656700219828575,0.7698309724950049,0.44235121695087437,,-0.0017626602295226202,0.004019296586282297,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000080443],0.0005664525705093128,0.001434706737910923,0.39482115441523935,0.6934154233573228,,-0.0022634519364828905,0.003396357077501516,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000080471],-0.013655950975288067,0.011585142348527606,-1.1787469298574176,0.23996531449801847,,-0.03650720390380121,0.009195301953225073,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000087815],-0.0009830407031679199,0.0012103025410751447,-0.8122272488122334,0.4176723998562296,,-0.003370316461557311,0.0014042350552214713,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_Z,-8.800112100740918e-05,0.0006524093624539537,-0.13488635521170989,0.8928437659970544,,-0.0013748537902160923,0.0011988515482012738,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_Z_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.001315573904241655,0.001519913690948282,-0.8655582958930134,0.38781832083584294,,-0.004313545887363929,0.001682398078880619,POSITIVE_OR_LESS_NEGATIVE,0.0,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,MARKET_RETURN,1.064349950951591,0.025930515151830705,41.04623239143197,1.0800470738468165e-96,***,1.0132029954395223,1.1154969064636597,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,ENERGY_RETURN,-0.0023399201957073033,0.012686616211468223,-0.18444005530742735,0.8538639308277817,,-0.027363788451592867,0.02268394806017826,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,TREASURY_RETURN,0.039550110970733805,0.018088326807502546,2.186499137904203,0.02999450623993814,**,0.0038715738844477543,0.07522864805701986,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_DATE,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,VIX_CHANGE,0.005004281796167977,0.004237921772039032,1.180833924114701,0.23913706010228625,,-0.003354857814785916,0.013363421407121871,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,Intercept,-0.001639027476587119,0.0007182260733633042,-2.282049534782123,0.03251780120491411,**,-0.003128537186801736,-0.00014951776637250175,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
INTERNAL_FINANCIAL_CAPACITY_MAIN_ETF_FE_CLUSTER_ETF,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000013931],0.0002418947211869662,5.0658743251917746e-17,4774984645474.974,1.1351707551231139e-265,***,0.00024189472118686114,0.00024189472118707126,POSITIVE_OR_LESS_NEGATIVE,,1777,23,192,0.8171495685945347,0.8142206143157286
