MODEL,MODEL_FAMILY,CHANNEL,CHANNEL_ROLE,QUALITY,COVARIANCE,PARAMETER,TARGET_PARAMETER,COEFFICIENT,STD_ERROR,TEST_STATISTIC,P_VALUE,SIGNIFICANCE,CI_LOWER_95,CI_UPPER_95,EXPECTED_SIGN,EXPECTED_SIGN_MATCH,N_OBSERVATIONS,N_ETFS,N_MONTHS,N_JOINT_STRESS_MONTHS,R_SQUARED,ADJ_R_SQUARED
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000080471],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.012210211550021992,0.011107544496545397,-1.0992719006275005,0.27303314312579313,,-0.03411942086910576,0.009698997769061773,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,C(ETF_ID)[T.S000087815],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.001092846672147893,0.0011777339836484572,-0.9279231875116697,0.35461853827615114,,-0.003415882188951593,0.0012301888446558068,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,HIGH_CPU_REGIME,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0007342641100808499,0.0015988387520255603,0.4592483820839435,0.6465780460622989,,-0.002419384556056411,0.003887912776218111,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,HIGH_VIX_REGIME,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006423585058789533,0.001928941638636302,3.330108558043672,0.0010419032775733658,***,0.0026188209961001485,0.010228349121478918,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_AND_VIX_STRESS,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0038276431364781334,0.0029523135637760023,-1.2964893646264954,0.19637115138766903,,-0.009650969422900472,0.0019956831499442058,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,MARKET_RETURN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,1.0774702930943052,0.023935622357393275,45.01534478636585,1.2334840743882979e-103,***,1.0302581877929247,1.1246823983956857,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,ENERGY_RETURN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0051027729468228165,0.012736059054642934,-0.40065556581748096,0.6891215344522269,,-0.03022416533153652,0.020018619437890888,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,TREASURY_RETURN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.03934709279945778,0.01714020420105938,2.29560233576598,0.022784738641943487,**,0.005538691516019885,0.07315549408289568,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,VIX_CHANGE,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.003244613922044259,0.00408092499353613,0.7950682571190298,0.4275606763678805,,-0.0048048555107967576,0.011294083354885276,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,HIGH_CPU_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0011132742612505683,0.0037714375451945916,0.2951856547827647,0.768172685678534,,-0.006325742943426721,0.008552291465927857,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,HIGH_VIX_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0015779584679139654,0.004330726591345107,-0.3643634467868492,0.7159896905613897,,-0.010120152057416305,0.006964235121588374,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_DATE,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_DATE,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.007142148045875931,0.006293881840195752,-1.1347763156694082,0.2578911453038329,,-0.01955659074374816,0.0052722946519962975,POSITIVE,0.0,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,Intercept,CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.003109203650039261,0.001552103937194944,-2.0032187120524942,0.057624918886656384,*,-0.0063280702039756566,0.00010966290389713418,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000013931],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0001762038454424625,9.51158091013786e-05,1.852519019784153,0.07741591741064612,*,-2.105426938478716e-05,0.00037346196026971217,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000055381],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0005234711116423775,0.00019015031162901975,2.752933230336542,0.01160932409077353,**,0.00012912350150139583,0.0009178187217833591,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000055811],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.004682859456338798,0.00116950627629971,4.004133668401724,0.0005970972337233744,***,0.0022574518871761053,0.0071082670255014895,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000055812],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.004873745502472108,0.0011718196822015482,-4.159125824986649,0.00040906659692449413,***,-0.007303950781829753,-0.002443540223114463,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000062205],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.004128235994994397,0.000622565736933154,-6.631004165649503,1.145654105166009e-06,***,-0.005419358309819888,-0.0028371136801689065,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000063075],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0006964131442483079,0.0001604434954414557,4.340550810939059,0.000262594740527043,***,0.00036367370013189057,0.0010291525883647252,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000063599],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0003420982712294294,0.0002346447743717223,-1.4579411459105422,0.15898533514118088,,-0.0008287217493233609,0.0001445252068645021,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000063769],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0009789681732624068,0.00020985086517767996,4.665066176560759,0.00011890096940838405,***,0.0005437641156940576,0.001414172230830756,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000065418],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0006688634452252947,0.00028716901613420334,2.3291629933805713,0.029431919457797353,**,7.33113567280739e-05,0.0012644155337225155,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000066985],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.0037818628136466878,0.0011749368342859172,-3.218779685245942,0.003953129152776692,***,-0.006218532670760666,-0.0013451929565327092,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000068775],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0016886187206058062,0.0003032015713673356,5.569294093664198,1.343436484715431e-05,***,0.0010598171476009085,0.002317420293610704,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000069051],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.0015132516361115698,0.00032863929482455115,4.604597380600641,0.00013779284009443266,***,0.0008316954535199625,0.0021948078187031773,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000069532],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.001041981577841456,0.00040123025487388093,2.596966617507404,0.016455715450898252,**,0.00020988095823024663,0.0018740821974526656,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000074757],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.000221602841183353,0.0006201548465835202,0.35733469214048674,0.7242463466351435,,-0.0010645195930763622,0.0015077252754430682,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000076639],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.00040052829934289665,0.0006034279893649216,0.6637549242030238,0.5137436013689082,,-0.0008509047562204909,0.0016519613549062842,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079062],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.005316023541104688,0.0011836266010653816,-4.491301172447239,0.00018169062302584275,***,-0.0077707148715089654,-0.0028613322107004114,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079196],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,0.006774621040960734,0.0007338658226734321,9.23141646831456,5.067089310893783e-09,***,0.0052526764758630716,0.008296565606058397,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
INTERNAL_FINANCIAL_CAPACITY_MAIN_REGIME_ETF_FE_CLUSTER_ETF,REGIME,INTERNAL_FINANCIAL_CAPACITY,PRIMARY,MAIN,CLUSTER_ETF,C(ETF_ID)[T.S000079198],CPU_VIX_STRESS_X_INTERNAL_FINANCIAL_CAPACITY_MAIN,-0.006359372621912549,0.001060322952444795,-5.9975808382245175,4.90083864069126e-06,***,-0.00855834783626829,-0.0041603974075568075,POSITIVE,,1777,23,192,17,0.8193022538433548,0.8159866988680035
