MODEL_FAMILY,CHANNEL,OUTCOME,HORIZON,FOCAL_TERM,STATUS,N_OBS,N_ETFS,N_DATES,COEFFICIENT,STD_ERROR,T_STAT,P_VALUE,CI_LOW_95,CI_HIGH_95,R_SQUARED_WITHIN_TRANSFORMED,P_HOLM_FAMILY,Q_BH_FAMILY
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,4169,48,186,0.015839426766820264,0.018601424239096373,0.8515168818917125,0.3944822895353688,-0.02061936474180863,0.05229821827544916,0.007611014441151198,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,FINANCIAL_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_FINANCIAL_ARCHITECTURE_RISK,OK,3881,48,180,-0.01466537790680627,0.024736299989389195,-0.5928686955242733,0.5532690295923417,-0.06314852588600908,0.03381777007239655,0.009123146130598059,1.0,0.9112728169372961
CPU_PRICING,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,0.0009900903296163495,0.0014344618338986636,0.6902172690962607,0.4900575650269473,-0.001821454864825031,0.0038016355240577298,0.003329224791569607,1.0,0.8159372443448712
CONTINUOUS_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,CPU_VIX_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,-0.002474608038700204,0.002050390621763926,-1.2068959018995753,0.22747223612801393,-0.006493373657357499,0.001544157579957091,0.00694979818174557,1.0,0.4252743614607816
JOINT_STRESS_ACTIVATION,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,-0.0004127291277610152,0.005042637301589408,-0.08184787107946978,0.9347676881294389,-0.010296298238876254,0.009470839983354223,0.0026394292540783404,1.0,0.9993658473507814
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,0.005677616424571083,0.004725441329924011,1.2014997178395574,0.22955741587060952,-0.003584248582079978,0.014939481431222144,0.005965133235373288,0.8841273112127906,0.25042627185884675
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4313,48,189,0.02949439559531317,0.010484838635009572,2.8130519335633286,0.0049073724740929,0.008944111870694407,0.05004467931993194,0.026048566722758792,0.06379584216320769,0.0098147449481858
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,4169,48,186,0.0665533726998974,0.01855983484069822,3.585881731768345,0.00033594119314796374,0.030176096412128893,0.10293064898766591,0.038272412420451096,0.005711000283515384,0.0010078235794438912
EXTREME_CPU_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,EXTREME_CPU_X_EXTENDED_ARCHITECTURE_RISK,OK,3881,48,180,0.04750986632873888,0.025875949938283616,1.8360626930433097,0.0663483850745913,-0.0032069955502970066,0.09822672820777477,0.012531433061675146,0.5971354656713217,0.09952257761188696
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,ETF_RETURN,0,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4418,48,192,-0.0004127291277610152,0.005042637301589408,-0.08184787107946978,0.9347676881294389,-0.010296298238876254,0.009470839983354223,0.0026394292540783404,1.0,0.9993658473507814
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD3,3,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4313,48,189,0.007839123397044553,0.012854277479572719,0.6098455093646484,0.5419641515207002,-0.017355260462917976,0.033033507257007086,0.006063321501955432,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD6,6,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,4169,48,186,0.01904796819851439,0.020887309384381443,0.9119397739546853,0.36180042238915566,-0.021891158194873236,0.05998709459190202,0.008395093611888949,1.0,0.9112728169372961
JOINT_STRESS_RECOVERY,EXTENDED_ARCHITECTURE_RISK,CUM_RETURN_LEAD12,12,JOINT_STRESS_X_EXTENDED_ARCHITECTURE_RISK,OK,3881,48,180,-0.014522134931036459,0.027615442501656012,-0.5258700790387701,0.5989784793128011,-0.06864840223428224,0.03960413237220932,0.009026022859218608,1.0,0.9112728169372961
