PAIR,CHANNEL_1,CHANNEL_2,SHOCK,HORIZON_MONTHS,MODEL_VARIANT,N_OBSERVATIONS,N_ETFS,N_DATES,INFERENCE_CLASS,FOCAL_CHANNEL,CONDITIONAL_ON,FOCAL_REGRESSOR,COVARIANCE_METHOD,DK_BANDWIDTH,CONDITION_NUMBER,PAIRWISE_ARCH_CORRELATION,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,HOLM_P_WITHIN_PROFILE,BH_Q_WITHIN_PROFILE
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,12,PRIMARY_ALIGNED,809,13,180,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,JOINT_A2,DK_H12,12,27.669701900335625,0.8339514090521493,RELIABLE_ESTIMATE,0.03888599225899857,0.01934778124351059,2.0098424604651375,0.04594962060181214,0.0007069103984029684,0.07706507411959417,0.45949620601812136,0.14933626695588945
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,SHOCK_A1,DATE_CLUSTERED,0,18.746902378732614,0.8363973321159234,RELIABLE_ESTIMATE,-0.008160695725785906,0.003421296343417999,-2.385264211761638,0.01804503957135407,-0.014909072718907457,-0.0014123187326643563,0.06435305420675988,0.019548792868966908
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,0,PRIMARY_ALIGNED,965,13,192,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,SHOCK_A2,DATE_CLUSTERED,0,18.746902378732614,0.8363973321159234,RELIABLE_ESTIMATE,0.001041259325359648,0.0030687579238055473,0.33930969832523933,0.7347492197729036,-0.005011749035143737,0.0070942676858630335,1.0,0.7959783214206456
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,SHOCK_A1,DK_H3,3,18.049084882927275,0.8358479120287355,RELIABLE_ESTIMATE,-0.03279402469339604,0.015062829648080039,-2.1771490124749624,0.030715340929896615,-0.06250790678185848,-0.0030801426049335973,0.06435305420675988,0.030715340929896615
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,3,PRIMARY_ALIGNED,926,13,189,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,SHOCK_A2,DK_H3,3,18.049084882927275,0.8358479120287355,RELIABLE_ESTIMATE,0.010617739192257128,0.013925089847397,0.76248981576531,0.446723325639817,-0.016851766037760545,0.038087244422274805,1.0,0.5807403233317621
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,6,PRIMARY_ALIGNED,887,13,186,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,SHOCK_A1,DK_H6,6,16.66449795426786,0.8352597190123197,RELIABLE_ESTIMATE,-0.0769085174435332,0.018926603624814634,-4.063513928230557,7.137765616996436e-05,-0.1142482449187762,-0.039568789968290205,0.0007851542178696079,0.0003093031767365122
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,6,PRIMARY_ALIGNED,887,13,186,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,SHOCK_A2,DK_H6,6,16.66449795426786,0.8352597190123197,RELIABLE_ESTIMATE,0.03706416133025693,0.01716614517021002,2.1591429504265034,0.0321266236428427,0.003197589431656253,0.07093073322885761,0.4176461073569551,0.389365621359499
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,9,PRIMARY_ALIGNED,848,13,183,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,SHOCK_A1,DK_H9,9,15.701044828042193,0.8346289469083383,RELIABLE_ESTIMATE,-0.09579776875330033,0.022365840810334933,-4.283217857342236,2.9784549261569713e-05,-0.1399274531324017,-0.051668084374198946,0.00038719914040040627,0.00024128873271342353
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,9,PRIMARY_ALIGNED,848,13,183,MAIN_INFERENCE_ELIGIBLE,GROWTH_DURATION_EXPOSURE_FINAL,INTERNAL_FINANCIAL_CAPACITY,SHOCK_A2,DK_H9,9,15.701044828042193,0.8346289469083383,RELIABLE_ESTIMATE,0.0318869900692789,0.02204418283697396,1.446503610730171,0.14975600821519192,-0.011608036084235822,0.07538201622279361,1.0,0.389365621359499
CAPACITY_VS_GROWTH,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,EXTREME_CPU_REGIME,12,PRIMARY_ALIGNED,809,13,180,MAIN_INFERENCE_ELIGIBLE,INTERNAL_FINANCIAL_CAPACITY,GROWTH_DURATION_EXPOSURE_FINAL,SHOCK_A1,DK_H12,12,13.53322185312482,0.8339514090521493,RELIABLE_ESTIMATE,-0.08624497564375942,0.033430615215088604,-2.5798201764720603,0.010687490166186014,-0.15221379030435722,-0.020276160983161637,0.06412494099711608,0.017367171520052273
