TIMESTAMP_UTC,CIK10,ATTEMPT_IN_RUN,STARTED_AT_UTC,HTTP_STATUS,SUCCESS,ERROR,URL
2026-07-12T13:26:44.938188+00:00,0000019617,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000019617.json
2026-07-12T13:26:45.981135+00:00,0001065088,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001065088.json
2026-07-12T13:26:47.407140+00:00,0000858877,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000858877.json
2026-07-12T13:26:48.265516+00:00,0001674101,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674101.json
2026-07-12T13:26:49.810743+00:00,0000927628,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000927628.json
2026-07-12T13:26:51.227434+00:00,0000011544,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000011544.json
2026-07-12T13:26:52.268740+00:00,0000874716,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000874716.json
2026-07-12T13:26:53.116704+00:00,0001699150,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001699150.json
2026-07-12T13:26:54.186203+00:00,0000832101,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000832101.json
2026-07-12T13:26:55.249209+00:00,0001093691,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001093691.json
2026-07-12T13:26:56.309680+00:00,0000354950,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354950.json
2026-07-12T13:26:58.098285+00:00,0000004962,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004962.json
2026-07-12T13:26:58.892574+00:00,0001506293,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001506293.json
2026-07-12T13:27:00.024681+00:00,0001075531,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001075531.json
2026-07-12T13:27:00.874264+00:00,0001404655,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001404655.json
2026-07-12T13:27:02.403605+00:00,0000796343,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000796343.json
2026-07-12T13:27:03.557502+00:00,0000916540,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000916540.json
2026-07-12T13:27:04.762025+00:00,0001099800,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001099800.json
2026-07-12T13:27:05.772205+00:00,0000882184,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000882184.json
2026-07-12T13:27:07.193559+00:00,0000908255,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000908255.json
2026-07-12T13:27:08.410350+00:00,0001466258,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001466258.json
2026-07-12T13:27:09.485003+00:00,0001035267,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001035267.json
2026-07-12T13:27:10.396131+00:00,0001535527,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001535527.json
2026-07-12T13:27:11.530556+00:00,0001283699,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001283699.json
2026-07-12T13:27:12.698238+00:00,0001024478,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001024478.json
2026-07-12T13:27:13.954820+00:00,0000861842,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000861842.json
2026-07-12T13:27:14.886368+00:00,0001063761,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001063761.json
2026-07-12T13:27:15.819752+00:00,0000726728,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000726728.json
2026-07-12T13:27:16.984671+00:00,0000879101,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000879101.json
2026-07-12T13:27:17.958884+00:00,0001327811,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001327811.json
2026-07-12T13:27:19.022579+00:00,0000354190,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354190.json
2026-07-12T13:27:20.103024+00:00,0001123360,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001123360.json
2026-07-12T13:27:21.126075+00:00,0000723531,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723531.json
2026-07-12T13:27:22.249686+00:00,0001000697,1,,200,True,,https://data.sec.gov/api/xbrl/companyfacts/CIK0001000697.json
